,Unnamed: 0,Escola,Curso,Cor ,Genero,Ano,Idade,Demora dormir,Sonhos ruins,Qualidade do sono,Relação com Amigos,Relação com Professores,Auto-Imag,Fisico,Social,Verbal,Material,Virtual,Mora com pais,Escolari-mãe,Escolari-pai,Nota-exatas,Nota-humanas,Nota-biológicas,Tipo escola,Nota-media
325,325,SJ,Integrado,Branca,Masculino,3,17,< 1 vez por semana,1,Muito ruim,Muito boa,Boa,Boa,0,0,0,0,0,Sim,Pós-graduação,Pós-graduação,2,5,3,Privada,3.333333333333333
140,140,ETIM,Integrado,Branca,Feminino,2,16,> 3 vezes por semana,3,Boa,Boa,Boa,Muito boa,0,3,4,0,0,Sim,Fundamental 2,Fundamental 1,3,5,4,Pública,4.0
433,433,ETEC-BQ,Conc-Sub,Branca,Masculino,4,17,< 1 vez por semana,1,Regular,Muito boa,Boa,Boa,0,0,2,2,0,Sim,Pós-graduação,Graduação,4,3,3,Pública,3.333333333333333
416,416,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,> 3 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Fundamental 2,Graduação,4,4,4,Pública,4.0
487,487,ETEC-HM,Conc-Sub,Branca,Masculino,1,18,2-3 vezes por semana,2,Regular,Boa,Boa,Boa,0,0,0,0,0,Não,Ensino médio,Fundamental 1,3,4,5,Pública,4.0
25,25,ETIM,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Boa,Boa,Boa,Regular,0,1,0,1,0,Sim,Graduação,Graduação,4,3,3,Pública,3.333333333333333
459,459,ETEC-HM,Conc-Sub,Branca,Feminino,2,18,< 1 vez por semana,1,Regular,Boa,Boa,Regular,0,2,0,0,0,Não,Ensino médio,Fundamental 2,4,3,3,Pública,3.333333333333333
137,137,ETIM,Integrado,Parda,Feminino,2,17,< 1 vez por semana,0,Regular,Boa,Muito boa,Muito ruim,0,2,4,0,0,Sim,Ensino médio,Ensino médio,4,4,3,Pública,3.6666666666666665
454,454,ETEC-BQ,Conc-Sub,Branca,Masculino,1,19,< 1 vez por semana,0,Regular,Muito boa,Boa,Boa,1,0,1,2,0,Não,Ensino médio,Fundamental 1,5,2,3,Pública,3.333333333333333
349,349,ETEC-BQ,Conc-Sub,Branca,Feminino,1,16,2-3 vezes por semana,2,Regular,Boa,Boa,Regular,0,2,1,0,0,Sim,Graduação,Graduação,4,4,2,Pública,3.333333333333333
42,42,ETIM,Integrado,Branca,Masculino,3,17,1-2 vezes por semana,0,Boa,Muito boa,Muito boa,Muito boa,1,0,1,0,0,Sim,Ensino médio,Graduação,3,4,4,Pública,3.6666666666666665
208,208,IFSP,Integrado,Branca,Masculino,2,17,> 3 vezes por semana,0,Boa,Muito boa,Regular,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,4,3,3,Pública,3.333333333333333
237,237,RB,Integrado,Branca,Feminino,1,15,> 3 vezes por semana,1,Regular,Muito boa,Regular,Ruim,0,0,0,0,0,Sim,Graduação,Graduação,2,4,3,Privada,3.0
274,274,RB,Integrado,Branca,Feminino,3,17,2-3 vezes por semana,2,Regular,Muito boa,Boa,Regular,0,1,2,0,0,Não,Graduação,Graduação,1,5,3,Privada,3.0
249,249,RB,Integrado,Branca,Feminino,1,15,2-3 vezes por semana,1,Regular,Muito boa,Boa,Boa,0,0,3,0,0,Sim,Graduação,Graduação,3,3,5,Privada,3.6666666666666665
467,467,ETEC-HM,Conc-Sub,Branca,Masculino,3,16,> 3 vezes por semana,0,Regular,Muito boa,Boa,Boa,1,0,1,0,0,Sim,Fundamental 2,Fundamental 1,4,5,4,Pública,4.333333333333333
355,355,ETEC-BQ,Conc-Sub,Branca,Feminino,1,18,2-3 vezes por semana,0,Boa,Muito boa,Muito boa,Regular,0,0,0,0,0,Sim,Fundamental 1,Ensino médio,5,4,4,Pública,4.333333333333333
410,410,ETEC-BQ,Conc-Sub,Branca,Masculino,1,18,1-2 vezes por semana,0,Regular,Boa,Boa,Boa,0,0,3,0,0,Não,Ensino médio,Fundamental 2,3,4,4,Pública,3.6666666666666665
